hotel_id,place_id,hotel_name,star_rating,price_per_night,hotel_type,free_wifi,breakfast,parking,family_friendly,address,min_price,max_price
H0194,P030,The Promenade Pondicherry,4,₹8000–₹16000,Mid-range,Yes,Yes,Yes,Yes,Beach Road Pondicherry,8000,16000
H0195,P030,Palais de Mahe Pondicherry,5,₹15000–₹30000,Luxury,Yes,Yes,Yes,Yes,Rue de la Caserne French Quarter Pondicherry,15000,30000
H0196,P030,Zostel Pondicherry,3,₹700–₹2000,Budget,Yes,No,No,Yes,White Town Pondicherry,700,2000
H0197,P030,Hotel Mass Pondicherry,3,₹2500–₹5000,Budget,Yes,No,Yes,Yes,Maraimalai Adigal Salai Pondicherry,2500,5000
H0198,P030,Storytellers Inn Pondicherry,3,₹3000–₹6000,Mid-range,Yes,Yes,No,Yes,French Quarter Pondicherry,3000,6000
H0199,P031,Taj Gateway Hotel Madurai,5,₹8000–₹16000,Luxury,Yes,Yes,Yes,Yes,TPK Road Madurai,8000,16000
H0200,P031,Hotel Sangam Madurai,4,₹5000–₹10000,Mid-range,Yes,Yes,Yes,Yes,Alagarkoil Road Madurai,5000,10000
H0201,P031,Ibis Madurai,3,₹3000–₹6000,Mid-range,Yes,Yes,Yes,Yes,Bypass Road Madurai,3000,6000
H0202,P031,Hotel Heritage Madurai,3,₹2500–₹5000,Mid-range,Yes,Yes,Yes,Yes,West Veli Street Madurai,2500,5000
H0203,P031,Zostel Madurai,3,₹700–₹2000,Budget,Yes,No,No,Yes,North Chitrai Street Madurai,700,2000
H0204,P031,Hotel Supreme Madurai,3,₹2000–₹4000,Budget,Yes,No,Yes,Yes,West Perumal Maistry Street Madurai,2000,4000
H0205,P031,Fortune Pandiyan Hotel Madurai,4,₹6000–₹12000,Mid-range,Yes,Yes,Yes,Yes,Race Course Road Madurai,6000,12000
H0206,P032,Hotel Tamil Nadu Rameswaram,3,₹2000–₹4000,Budget,Yes,No,Yes,Yes,Beach Road Rameswaram,2000,4000
H0207,P032,Hotel Daiwik Rameswaram,4,₹5000–₹10000,Mid-range,Yes,Yes,Yes,Yes,Rameswaram Beach Road Rameswaram,5000,10000
H0208,P032,Hyatt Place Rameswaram,4,₹6000–₹12000,Mid-range,Yes,Yes,Yes,Yes,Bypass Road Rameswaram,6000,12000
H0209,P032,Hotel Maharaja Rameswaram,3,₹1500–₹3000,Budget,Yes,No,Yes,Yes,Middle Street Rameswaram,1500,3000
H0210,P032,SGS Grand Hotel Rameswaram,3,₹2500–₹5000,Budget,Yes,No,Yes,Yes,West Car Street Rameswaram,2500,5000
H0211,P033,Fortune Select Grand Ridge Tirupati,4,₹6000–₹12000,Mid-range,Yes,Yes,Yes,Yes,Bypass Road Tirupati,6000,12000
H0212,P033,Hotel Bliss Tirupati,3,₹3000–₹6000,Mid-range,Yes,Yes,Yes,Yes,Tilak Road Tirupati,3000,6000
H0213,P033,Hotel Annamalai Tirupati,3,₹2000–₹4000,Budget,Yes,No,Yes,Yes,Govindaraja Car Street Tirupati,2000,4000
H0214,P033,Marasa Sarovar Premiere Tirupati,5,₹8000–₹16000,Luxury,Yes,Yes,Yes,Yes,Karakambadi Road Tirupati,8000,16000
H0215,P033,Hotel Sindhuri Park Tirupati,3,₹2500–₹5000,Budget,Yes,No,Yes,Yes,Renigunta Road Tirupati,2500,5000
H0216,P033,Guestline Hotel Tirupati,4,₹5000–₹10000,Mid-range,Yes,Yes,Yes,Yes,Karakambadi Road Tirupati,5000,10000
H0217,P034,Vythiri Resort Wayanad,5,₹15000–₹30000,Luxury,Yes,Yes,Yes,Yes,Vythiri Wayanad,15000,30000
H0218,P034,Evolve Back Kuruba Safari Lodge Wayanad,5,₹20000–₹45000,Luxury,Yes,Yes,Yes,Yes,Sultan Bathery Wayanad,20000,45000
H0219,P034,The Windflower Resort and Spa Wayanad,5,₹12000–₹25000,Luxury,Yes,Yes,Yes,Yes,Vythiri Wayanad,12000,25000
H0220,P034,Rainforest Resort Wayanad,4,₹7000–₹14000,Mid-range,Yes,Yes,Yes,Yes,Kalpetta Wayanad,7000,14000
H0221,P034,Hotel Pepper Trail Wayanad,3,₹3000–₹6000,Mid-range,Yes,Yes,Yes,Yes,Kalpetta Town Wayanad,3000,6000
H0222,P034,Zostel Wayanad,3,₹800–₹2000,Budget,Yes,No,No,Yes,Vythiri Wayanad,800,2000
H0223,P035,The Serai Chikmagalur,5,₹18000–₹40000,Luxury,Yes,Yes,Yes,Yes,Kallugundi Estate Chikmagalur,18000,40000
H0224,P035,Taj Madikeri Coorg near Chikmagalur,5,₹20000–₹45000,Luxury,Yes,Yes,Yes,Yes,Ainthimane Chikmagalur,20000,45000
H0225,P035,Gateway Chikmagalur,4,₹8000–₹16000,Mid-range,Yes,Yes,Yes,Yes,KM Road Chikmagalur,8000,16000
H0226,P035,Hotel Mayura Chikmagalur,3,₹2500–₹5000,Budget,Yes,No,Yes,Yes,BM Road Chikmagalur,2500,5000
H0227,P035,Zostel Chikmagalur,3,₹800–₹2000,Budget,Yes,No,No,Yes,Chikmagalur Town,800,2000
H0228,P035,Arabica Resort Chikmagalur,4,₹6000–₹12000,Mid-range,Yes,Yes,Yes,Yes,Mudigere Road Chikmagalur,6000,12000
H0229,P036,Sterling Kodaikanal,4,₹8000–₹16000,Mid-range,Yes,Yes,Yes,Yes,Kodaikanal Lake Road Kodaikanal,8000,16000
H0230,P036,The Carlton Kodaikanal,5,₹12000–₹25000,Luxury,Yes,Yes,Yes,Yes,Lake Road Kodaikanal,12000,25000
H0231,P036,Hotel Kodai International,3,₹3000–₹6000,Mid-range,Yes,Yes,Yes,Yes,PT Road Kodaikanal,3000,6000
H0232,P036,Hilltop Towers Kodaikanal,3,₹2500–₹5000,Budget,Yes,No,Yes,Yes,Club Road Kodaikanal,2500,5000
H0233,P036,Zostel Kodaikanal,3,₹800–₹2000,Budget,Yes,No,No,Yes,Kodaikanal Town,800,2000
H0234,P036,Club Mahindra Kodaikanal,4,₹9000–₹18000,Luxury,Yes,Yes,Yes,Yes,Coaker's Walk Kodaikanal,9000,18000
H0235,P037,Clafouti Beach Resort Varkala,4,₹6000–₹12000,Mid-range,Yes,Yes,No,Yes,Cliff Area Varkala,6000,12000
H0236,P037,Taj Gateway Hotel Varkala,4,₹8000–₹16000,Mid-range,Yes,Yes,Yes,Yes,North Cliff Varkala,8000,16000
H0237,P037,Zostel Varkala,3,₹700–₹2000,Budget,Yes,No,No,Yes,North Cliff Varkala,700,2000
H0238,P037,Hindustan Beach Retreat Varkala,4,₹7000–₹14000,Mid-range,Yes,Yes,Yes,Yes,North Cliff Varkala,7000,14000
H0239,P037,Sea Pearl Beach Resort Varkala,3,₹3000–₹6000,Budget,Yes,No,Yes,Yes,Papanasam Beach Varkala,3000,6000
H0240,P037,Abhinav Beach Resort Varkala,3,₹2500–₹5000,Budget,Yes,No,Yes,Yes,North Cliff Varkala,2500,5000
H0241,P038,Hotel Mookambika Badami,3,₹2000–₹4000,Budget,Yes,No,Yes,Yes,Station Road Badami,2000,4000
H0242,P038,Hotel Badami Court,3,₹3000–₹6000,Mid-range,Yes,Yes,Yes,Yes,Station Road Badami,3000,6000
H0243,P038,Clarks Inn Badami,3,₹3500–₹7000,Mid-range,Yes,Yes,Yes,Yes,Ramdurg Road Badami,3500,7000
H0244,P038,KSTDC Hotel Mayura Chalukya,3,₹1500–₹3000,Budget,Yes,No,Yes,Yes,Badami Town Badami,1500,3000
H0245,P039,Sterling Yercaud,4,₹7000–₹14000,Mid-range,Yes,Yes,Yes,Yes,Yercaud Lake Road Yercaud,7000,14000
H0246,P039,Hotel Shevaroys Yercaud,3,₹3000–₹6000,Mid-range,Yes,Yes,Yes,Yes,Yercaud Main Road Yercaud,3000,6000
H0247,P039,Hotel Tamil Nadu Yercaud,3,₹2000–₹4000,Budget,Yes,No,Yes,Yes,Lake Road Yercaud,2000,4000
H0248,P039,Zostel Yercaud,3,₹700–₹2000,Budget,Yes,No,No,Yes,Yercaud Town,700,2000
H0249,P039,GRT Temple Bay Yercaud,4,₹5000–₹10000,Mid-range,Yes,Yes,Yes,Yes,Shevarayan Hills Yercaud,5000,10000
H0250,P040,Novotel Visakhapatnam Varun Beach,5,₹10000–₹20000,Luxury,Yes,Yes,Yes,Yes,Beach Road Vizag,10000,20000
H0251,P040,The Park Visakhapatnam,5,₹12000–₹25000,Luxury,Yes,Yes,Yes,Yes,Beach Road Vizag,12000,25000
H0252,P040,Fortune Murali Park Vizag,4,₹6000–₹12000,Mid-range,Yes,Yes,Yes,Yes,Suryabagh Vizag,6000,12000
H0253,P040,Hotel Daspalla Vizag,4,₹5000–₹10000,Mid-range,Yes,Yes,Yes,Yes,Suryabagh Vizag,5000,10000
H0254,P040,Welcomhotel Grand Bay Vizag,5,₹10000–₹22000,Luxury,Yes,Yes,Yes,Yes,Beach Road Vizag,10000,22000
H0255,P040,Zostel Vizag,3,₹700–₹2000,Budget,Yes,No,No,Yes,Beach Road Vizag,700,2000
H0256,P040,Hotel Sai Priya Vizag,3,₹2500–₹5000,Budget,Yes,No,Yes,Yes,Dwaraka Nagar Vizag,2500,5000
H0257,P040,Lemon Tree Hotel Vizag,4,₹6000–₹12000,Mid-range,Yes,Yes,Yes,Yes,Dwaraka Nagar Vizag,6000,12000
H0258,P041,Taj Holiday Village Resort and Spa Goa,5,₹20000–₹45000,Luxury,Yes,Yes,Yes,Yes,Sinquerim Bardez Goa,20000,45000
H0259,P041,The Leela Goa,5,₹25000–₹55000,Luxury,Yes,Yes,Yes,Yes,Mobor Cavelossim Goa,25000,55000
H0260,P041,W Goa,5,₹18000–₹40000,Luxury,Yes,Yes,Yes,Yes,Vagator Beach Goa,18000,40000
H0261,P041,Aloft North Goa,4,₹8000–₹16000,Mid-range,Yes,Yes,Yes,Yes,Candolim Goa,8000,16000
H0262,P041,Zostel Goa,3,₹800–₹2500,Budget,Yes,No,No,Yes,Anjuna Goa,800,2500
H0263,P041,Hotel Bougainvillea Goa,3,₹3000–₹6000,Mid-range,Yes,Yes,Yes,Yes,Calangute Goa,3000,6000
H0264,P041,Park Hyatt Goa Resort and Spa,5,₹22000–₹50000,Luxury,Yes,Yes,Yes,Yes,Arossim Beach Cansaulim Goa,22000,50000
H0265,P041,Lemon Tree Amarante Beach Resort Goa,4,₹7000–₹14000,Mid-range,Yes,Yes,Yes,Yes,Varca Beach Goa,7000,14000
H0266,P042,The Taj Mahal Palace Mumbai,5,₹30000–₹70000,Luxury,Yes,Yes,Yes,Yes,Apollo Bunder Colaba Mumbai,30000,70000
H0267,P042,The Oberoi Mumbai,5,₹25000–₹60000,Luxury,Yes,Yes,Yes,Yes,Nariman Point Mumbai,25000,60000
H0268,P042,ITC Grand Central Mumbai,5,₹18000–₹40000,Luxury,Yes,Yes,Yes,Yes,Dr Babasaheb Ambedkar Road Parel Mumbai,18000,40000
H0269,P042,Trident Bandra Kurla Mumbai,5,₹15000–₹35000,Luxury,Yes,Yes,Yes,Yes,Bandra Kurla Complex Mumbai,15000,35000
H0270,P042,Zostel Mumbai,3,₹800–₹2000,Budget,Yes,No,No,Yes,Colaba Mumbai,800,2000
H0271,P042,Hotel Godwin Mumbai,3,₹3000–₹6000,Mid-range,Yes,No,No,Yes,Colaba Mumbai,3000,6000
H0272,P042,Novotel Mumbai Juhu Beach,4,₹8000–₹16000,Mid-range,Yes,Yes,Yes,Yes,Juhu Beach Mumbai,8000,16000
H0273,P042,Hotel Sea Princess Mumbai,4,₹7000–₹14000,Mid-range,Yes,Yes,Yes,Yes,Juhu Beach Mumbai,7000,14000
H0274,P043,The Westin Pune Koregaon Park,5,₹10000–₹22000,Luxury,Yes,Yes,Yes,Yes,Koregaon Park Pune,10000,22000
H0275,P043,JW Marriott Pune,5,₹12000–₹25000,Luxury,Yes,Yes,Yes,Yes,Senapati Bapat Road Pune,12000,25000
H0276,P043,Hyatt Regency Pune,5,₹10000–₹20000,Luxury,Yes,Yes,Yes,Yes,Weikfield IT City Nagar Road Pune,10000,20000
H0277,P043,Radisson Blu Pune Kharadi,4,₹7000–₹14000,Mid-range,Yes,Yes,Yes,Yes,Kharadi Pune,7000,14000
H0278,P043,Zostel Pune,3,₹700–₹2000,Budget,Yes,No,No,Yes,Koregaon Park Pune,700,2000
H0279,P043,Hotel Sunderban Pune,3,₹3000–₹6000,Mid-range,Yes,Yes,Yes,Yes,Koregaon Park Pune,3000,6000
H0280,P043,Lemon Tree Hotel Pune,4,₹6000–₹12000,Mid-range,Yes,Yes,Yes,Yes,Baner Road Pune,6000,12000
H0281,P044,Vivanta Aurangabad,5,₹8000–₹16000,Luxury,Yes,Yes,Yes,Yes,CIDCO Aurangabad,8000,16000
H0282,P044,Lemon Tree Hotel Aurangabad,4,₹5000–₹10000,Mid-range,Yes,Yes,Yes,Yes,Chikalthana Aurangabad,5000,10000
H0283,P044,Hotel Panchavati Aurangabad,3,₹2500–₹5000,Mid-range,Yes,Yes,Yes,Yes,Station Road Aurangabad,2500,5000
H0284,P044,Hotel Rama International Aurangabad,3,₹3000–₹6000,Mid-range,Yes,Yes,Yes,Yes,R-3 Chikalthana Aurangabad,3000,6000
H0285,P044,Zostel Aurangabad,3,₹700–₹2000,Budget,Yes,No,No,Yes,Aurangabad Town,700,2000
H0286,P044,Hotel Amarpreet Aurangabad,3,₹2000–₹4000,Budget,Yes,No,Yes,Yes,Jalna Road Aurangabad,2000,4000
H0287,P045,Taj Lake Palace Udaipur,5,₹35000–₹80000,Luxury,Yes,Yes,No,Yes,Lake Pichola Udaipur,35000,80000
H0288,P045,The Leela Palace Udaipur,5,₹30000–₹70000,Luxury,Yes,Yes,Yes,Yes,Lake Pichola Udaipur,30000,70000
H0289,P045,Trident Udaipur,5,₹15000–₹30000,Luxury,Yes,Yes,Yes,Yes,Haridasa Ji Ki Magri Udaipur,15000,30000
H0290,P045,Radisson Blu Udaipur Palace Resort and Spa,5,₹12000–₹25000,Luxury,Yes,Yes,Yes,Yes,The Palace Road Udaipur,12000,25000
H0291,P045,Hotel Udai Kothi Udaipur,4,₹7000–₹14000,Mid-range,Yes,Yes,Yes,Yes,Hanuman Ghat Udaipur,7000,14000
H0292,P045,Zostel Udaipur,3,₹700–₹2000,Budget,Yes,No,No,Yes,Lal Ghat Udaipur,700,2000
H0293,P045,Hotel Badi Haveli Udaipur,3,₹3000–₹6000,Mid-range,Yes,Yes,No,Yes,Gangaur Ghat Udaipur,3000,6000
H0294,P046,Umaid Bhawan Palace Jodhpur,5,₹35000–₹80000,Luxury,Yes,Yes,Yes,Yes,Circuit House Road Jodhpur,35000,80000
H0295,P046,Taj Hari Mahal Jodhpur,5,₹15000–₹35000,Luxury,Yes,Yes,Yes,Yes,5 Residency Road Jodhpur,15000,35000
H0296,P046,Raas Jodhpur,5,₹18000–₹40000,Luxury,Yes,Yes,Yes,Yes,Tunwarji Ka Jhalra Makrana Mohalla Jodhpur,18000,40000
H0297,P046,Indique Heights Jodhpur,4,₹7000–₹14000,Mid-range,Yes,Yes,Yes,Yes,High Court Colony Jodhpur,7000,14000
H0298,P046,Zostel Jodhpur,3,₹700–₹2000,Budget,Yes,No,No,Yes,Navchokiya Jodhpur,700,2000
H0299,P046,Hotel Haveli Jodhpur,3,₹2500–₹5000,Budget,Yes,No,Yes,Yes,Makrana Mohalla Jodhpur,2500,5000
H0300,P046,Vivanta Jodhpur,5,₹12000–₹25000,Luxury,Yes,Yes,Yes,Yes,Residency Road Jodhpur,12000,25000
H0301,P047,Merwara Estate Ajmer,4,₹6000–₹12000,Mid-range,Yes,Yes,Yes,Yes,Nasirabad Road Ajmer,6000,12000
H0302,P047,Hotel Mansingh Ajmer,4,₹5000–₹10000,Mid-range,Yes,Yes,Yes,Yes,Ana Sagar Circular Road Ajmer,5000,10000
H0303,P047,Hotel Embassy Ajmer,3,₹2000–₹4000,Budget,Yes,No,Yes,Yes,Agra Gate Ajmer,2000,4000
H0304,P047,RTDC Hotel Khadim Ajmer,3,₹2500–₹5000,Budget,Yes,No,Yes,Yes,Savitri Girls College Road Ajmer,2500,5000
H0305,P047,Hotel Regency Ajmer,3,₹3000–₹6000,Mid-range,Yes,Yes,Yes,Yes,Kutchery Road Ajmer,3000,6000
H0306,P048,Jaisamand Island Resort Mount Abu,4,₹8000–₹16000,Luxury,Yes,Yes,Yes,Yes,Opposite Achalgarh Fort Mount Abu,8000,16000
H0307,P048,Hotel Hilltone Mount Abu,4,₹6000–₹12000,Mid-range,Yes,Yes,Yes,Yes,Main Road Mount Abu,6000,12000
H0308,P048,Cama Rajputana Club Resort Mount Abu,4,₹7000–₹14000,Mid-range,Yes,Yes,Yes,Yes,Adhar Devi Road Mount Abu,7000,14000
H0309,P048,Hotel Saraswati Mount Abu,3,₹2500–₹5000,Budget,Yes,No,Yes,Yes,Main Road Mount Abu,2500,5000
H0310,P048,Zostel Mount Abu,3,₹700–₹2000,Budget,Yes,No,No,Yes,Mount Abu Town,700,2000
H0311,P049,Rann Utsav Tent City Kutch,4,₹12000–₹25000,Luxury,Yes,Yes,Yes,Yes,White Rann Dhordo Kutch,12000,25000
H0312,P049,Hotel iCON Bhuj Kutch,3,₹3000–₹6000,Mid-range,Yes,Yes,Yes,Yes,Station Road Bhuj Kutch,3000,6000
H0313,P049,The Gateway Hotel Bhuj Kutch,4,₹6000–₹12000,Mid-range,Yes,Yes,Yes,Yes,Bhuj Town Kutch,6000,12000
H0314,P049,Hotel Prince Bhuj Kutch,3,₹2000–₹4000,Budget,Yes,No,Yes,Yes,Station Road Bhuj Kutch,2000,4000
H0315,P049,Zostel Kutch,3,₹700–₹2000,Budget,Yes,No,No,Yes,Bhuj Town Kutch,700,2000
H0316,P050,Dwarka Residency Hotel,3,₹2500–₹5000,Mid-range,Yes,Yes,Yes,Yes,Dwarka Town Dwarka,2500,5000
H0317,P050,Hotel Narayan Avadh Dwarka,3,₹2000–₹4000,Budget,Yes,No,Yes,Yes,Near Dwarkadhish Temple Dwarka,2000,4000
H0318,P050,Lords Eco Inn Dwarka,3,₹3000–₹6000,Mid-range,Yes,Yes,Yes,Yes,Near ST Bus Stand Dwarka,3000,6000
H0319,P050,Hotel Gomti Dwarka,3,₹1500–₹3000,Budget,Yes,No,Yes,Yes,Gomti Ghat Dwarka,1500,3000
H0320,P050,The Fern Dwarka,4,₹5000–₹10000,Mid-range,Yes,Yes,Yes,Yes,Dwarka Town Dwarka,5000,10000
H0321,P051,The Umed Somnath,4,₹6000–₹12000,Mid-range,Yes,Yes,Yes,Yes,Somnath Temple Road Somnath,6000,12000
H0322,P051,Hotel Somnath Residency,3,₹2500–₹5000,Budget,Yes,No,Yes,Yes,Near Somnath Temple Somnath,2500,5000
H0323,P051,Hotel Mayuram Somnath,3,₹2000–₹4000,Budget,Yes,No,Yes,Yes,Somnath Temple Road Somnath,2000,4000
H0324,P051,Lords Inn Somnath,3,₹3000–₹6000,Mid-range,Yes,Yes,Yes,Yes,College Road Somnath,3000,6000
H0325,P051,GTDC Toran Somnath,3,₹1500–₹3000,Budget,Yes,No,Yes,Yes,Somnath Beach Road Somnath,1500,3000
H0326,P052,Hyatt Regency Ahmedabad,5,₹10000–₹22000,Luxury,Yes,Yes,Yes,Yes,SG Highway Ahmedabad,10000,22000
H0327,P052,Taj Skyline Ahmedabad,5,₹12000–₹25000,Luxury,Yes,Yes,Yes,Yes,SG Highway Ahmedabad,12000,25000
H0328,P052,Novotel Ahmedabad,4,₹7000–₹14000,Mid-range,Yes,Yes,Yes,Yes,SG Highway Ahmedabad,7000,14000
H0329,P052,Lemon Tree Hotel Ahmedabad,4,₹5000–₹10000,Mid-range,Yes,Yes,Yes,Yes,Khanpur Ahmedabad,5000,10000
H0330,P052,Hotel Cama Ahmedabad,4,₹6000–₹12000,Mid-range,Yes,Yes,Yes,Yes,Khanpur Road Ahmedabad,6000,12000
H0331,P052,Zostel Ahmedabad,3,₹700–₹2000,Budget,Yes,No,No,Yes,Law Garden Ahmedabad,700,2000
H0332,P052,Hotel Volga Ahmedabad,3,₹2500–₹5000,Budget,Yes,No,Yes,Yes,Relief Road Ahmedabad,2500,5000
H0333,P053,Fariyas Resort Lonavala,4,₹8000–₹16000,Luxury,Yes,Yes,Yes,Yes,Frichley Hill Lonavala,8000,16000
H0334,P053,The Machan Resort Lonavala,5,₹15000–₹30000,Luxury,Yes,Yes,Yes,Yes,Tickle Road Amby Valley Lonavala,15000,30000
H0335,P053,Hotel Adarsh Palace Lonavala,3,₹2500–₹5000,Budget,Yes,No,Yes,Yes,Old Pune Mumbai Highway Lonavala,2500,5000
H0336,P053,Valvan Resort Lonavala,4,₹6000–₹12000,Mid-range,Yes,Yes,Yes,Yes,Valvan Dam Road Lonavala,6000,12000
H0337,P053,Zostel Lonavala,3,₹700–₹2000,Budget,Yes,No,No,Yes,Lonavala Town,700,2000
H0338,P053,Hotel Chandralok Lonavala,3,₹3000–₹6000,Mid-range,Yes,Yes,Yes,Yes,Mumbai Pune Highway Lonavala,3000,6000
H0339,P054,Evershine Resort Mahabaleshwar,4,₹8000–₹16000,Mid-range,Yes,Yes,Yes,Yes,Mahabaleshwar Road Mahabaleshwar,8000,16000
H0340,P054,Le Meridien Mahabaleshwar,5,₹18000–₹40000,Luxury,Yes,Yes,Yes,Yes,Bhuibadan Mahabaleshwar,18000,40000
H0341,P054,Hotel Dreamland Mahabaleshwar,3,₹3000–₹6000,Mid-range,Yes,Yes,Yes,Yes,Murray Peth Mahabaleshwar,3000,6000
H0342,P054,Brightland Resort and Spa Mahabaleshwar,5,₹15000–₹30000,Luxury,Yes,Yes,Yes,Yes,Mahabaleshwar Road Mahabaleshwar,15000,30000
H0343,P054,Hotel Regal Mahabaleshwar,3,₹2000–₹4000,Budget,Yes,No,Yes,Yes,Main Road Mahabaleshwar,2000,4000
H0344,P054,Zostel Mahabaleshwar,3,₹700–₹2000,Budget,Yes,No,No,Yes,Mahabaleshwar Town,700,2000
H0345,P055,Radhika Beach Resort Diu,4,₹6000–₹12000,Mid-range,Yes,Yes,Yes,Yes,Nagoa Beach Diu,6000,12000
H0346,P055,Hotel Kohinoor Diu,3,₹2500–₹5000,Budget,Yes,No,Yes,Yes,Collectorate Road Diu,2500,5000
H0347,P055,Hoka Holiday Home Diu,3,₹3000–₹6000,Mid-range,Yes,Yes,Yes,Yes,Nagoa Beach Diu,3000,6000
H0348,P055,Hotel Prince Diu,3,₹2000–₹4000,Budget,Yes,No,Yes,Yes,Main Road Diu,2000,4000
H0349,P055,Zostel Diu,3,₹700–₹2000,Budget,Yes,No,No,Yes,Diu Town,700,2000
H0350,P056,MTDC Resort Tarkarli,3,₹3000–₹6000,Mid-range,Yes,Yes,Yes,Yes,Tarkarli Beach Tarkarli,3000,6000
H0351,P056,Chiwla Beach Resort Tarkarli,3,₹4000–₹8000,Mid-range,Yes,Yes,Yes,Yes,Chiwla Beach Tarkarli,4000,8000
H0352,P056,Hotel Atithi Tarkarli,3,₹2500–₹5000,Budget,Yes,No,Yes,Yes,Tarkarli Village Tarkarli,2500,5000
H0353,P056,Rock Bay Resort Tarkarli,4,₹6000–₹12000,Mid-range,Yes,Yes,Yes,Yes,Tarkarli Beach Road Tarkarli,6000,12000
H0354,P056,Blue Lagoon Resort Tarkarli,3,₹3500–₹7000,Mid-range,Yes,Yes,Yes,Yes,Tarkarli Beach Tarkarli,3500,7000
H0355,P057,Express Inn Nashik,4,₹6000–₹12000,Mid-range,Yes,Yes,Yes,Yes,Pathardi Phata Nashik,6000,12000
H0356,P057,Hotel Panchavati Yatri Nashik,3,₹2500–₹5000,Mid-range,Yes,Yes,Yes,Yes,Vakil Wadi Nashik,2500,5000
H0357,P057,Ginger Hotel Nashik,3,₹3000–₹6000,Mid-range,Yes,Yes,Yes,Yes,Trimbak Road Nashik,3000,6000
H0358,P057,Hotel Ibis Nashik,3,₹4000–₹8000,Mid-range,Yes,Yes,Yes,Yes,Mumbai Agra Highway Nashik,4000,8000
H0359,P057,Zostel Nashik,3,₹700–₹2000,Budget,Yes,No,No,Yes,Nashik Town,700,2000
H0360,P057,Hotel Atithi Nashik,3,₹2000–₹4000,Budget,Yes,No,Yes,Yes,Sharanpur Road Nashik,2000,4000
H0361,P058,Gir Lion Safari Lodge,5,₹18000–₹40000,Luxury,Yes,Yes,Yes,Yes,Sasan Gir Gir National Park,18000,40000
H0362,P058,Taj Exotica Gir Forest,5,₹20000–₹45000,Luxury,Yes,Yes,Yes,Yes,Sasan Gir Junagadh,20000,45000
H0363,P058,Rann Riders Gir,4,₹8000–₹16000,Mid-range,Yes,Yes,Yes,Yes,Sasan Gir Village,8000,16000
H0364,P058,Hotel Mango Sasan Gir,3,₹3000–₹6000,Mid-range,Yes,Yes,Yes,Yes,Sasan Gir Main Road,3000,6000
H0365,P058,Forest Camp Gir,3,₹2500–₹5000,Budget,Yes,Yes,Yes,Yes,Sasan Gir Junagadh,2500,5000
H0366,P059,Rann Utsav Tent City,4,₹12000–₹25000,Luxury,Yes,Yes,Yes,Yes,Dhordo White Rann Kutch,12000,25000
H0367,P059,Rann Rider Resort Kutch,4,₹8000–₹16000,Mid-range,Yes,Yes,Yes,Yes,Dhordo Village Kutch,8000,16000
H0368,P059,Desert Safari Lodge Kutch,3,₹4000–₹8000,Mid-range,Yes,Yes,Yes,Yes,Hodka Village Kutch,4000,8000
H0369,P059,Shaam-E-Sarhad Resort,4,₹7000–₹14000,Mid-range,Yes,Yes,Yes,Yes,Hodka Village Kutch,7000,14000
H0370,P059,Zostel Kutch,3,₹700–₹2000,Budget,Yes,No,No,Yes,Bhuj Town Kutch,700,2000
H0371,P060,Sai Palace Hotel Shirdi,4,₹5000–₹10000,Mid-range,Yes,Yes,Yes,Yes,Sahajanand Nagar Shirdi,5000,10000
H0372,P060,Hotel Sai Leela Shirdi,3,₹3000–₹6000,Mid-range,Yes,Yes,Yes,Yes,Near Sai Temple Shirdi,3000,6000
H0373,P060,Hotel Prasad Shirdi,3,₹2500–₹5000,Budget,Yes,No,Yes,Yes,Pimpalwadi Road Shirdi,2500,5000
H0374,P060,Sai Yatri Hotel Shirdi,3,₹2000–₹4000,Budget,Yes,No,Yes,Yes,Sahajanand Nagar Shirdi,2000,4000
H0375,P060,Ibbiza Hotel Shirdi,4,₹6000–₹12000,Mid-range,Yes,Yes,Yes,Yes,Shirdi Village Road Shirdi,6000,12000
H0376,P061,Taj Bengal Kolkata,5,₹15000–₹35000,Luxury,Yes,Yes,Yes,Yes,Belvedere Road Alipore Kolkata,15000,35000
H0377,P061,ITC Royal Bengal Kolkata,5,₹18000–₹40000,Luxury,Yes,Yes,Yes,Yes,JBS Haldane Avenue Kolkata,18000,40000
H0378,P061,The Oberoi Grand Kolkata,5,₹20000–₹45000,Luxury,Yes,Yes,Yes,Yes,Jawaharlal Nehru Road Kolkata,20000,45000
H0379,P061,Hyatt Regency Kolkata,5,₹12000–₹25000,Luxury,Yes,Yes,Yes,Yes,JA-1 Sector III Salt Lake Kolkata,12000,25000
H0380,P061,Zostel Kolkata,3,₹700–₹2000,Budget,Yes,No,No,Yes,Sudder Street Kolkata,700,2000
H0381,P061,Hotel Fairlawn Kolkata,3,₹3000–₹6000,Mid-range,Yes,Yes,No,Yes,Sudder Street Kolkata,3000,6000
H0382,P061,Ibis Kolkata Rajarhat,3,₹4000–₹8000,Mid-range,Yes,Yes,Yes,Yes,Rajarhat Kolkata,4000,8000
H0383,P062,Mayfair Darjeeling,5,₹15000–₹30000,Luxury,Yes,Yes,Yes,Yes,The Mall Darjeeling,15000,30000
H0384,P062,Windamere Hotel Darjeeling,4,₹10000–₹20000,Luxury,Yes,Yes,No,Yes,Observatory Hill Darjeeling,10000,20000
